trial,target_fitness,scalar_seconds,simd_seconds,speedup,scalar_iterations,simd_iterations,scalar_success,simd_success,winner,scalar_start_x,scalar_start_y,scalar_best_x,scalar_best_y,scalar_fitness,simd_lane0_start_x,simd_lane0_start_y,simd_lane0_best_x,simd_lane0_best_y,simd_lane0_fitness,simd_lane1_start_x,simd_lane1_start_y,simd_lane1_best_x,simd_lane1_best_y,simd_lane1_fitness,simd_lane2_start_x,simd_lane2_start_y,simd_lane2_best_x,simd_lane2_best_y,simd_lane2_fitness,simd_lane3_start_x,simd_lane3_start_y,simd_lane3_best_x,simd_lane3_best_y,simd_lane3_fitness,simd_lane4_start_x,simd_lane4_start_y,simd_lane4_best_x,simd_lane4_best_y,simd_lane4_fitness,simd_lane5_start_x,simd_lane5_start_y,simd_lane5_best_x,simd_lane5_best_y,simd_lane5_fitness,simd_lane6_start_x,simd_lane6_start_y,simd_lane6_best_x,simd_lane6_best_y,simd_lane6_fitness,simd_lane7_start_x,simd_lane7_start_y,simd_lane7_best_x,simd_lane7_best_y,simd_lane7_fitness,simd_best_fitness
0,90,0.00032439099999999999,6.8733999999999996e-05,4.7195129048214861,36176,10117,true,true,simd,-8208,8094,-2,1,95,-8208,8094,-5857,5857,-68608798,3242,-7134,2081,-3714,-18124257,7698,-6872,4995,-4994,-49889961,-2498,8285,-1193,5002,-26443153,6095,2627,2751,1636,-10244397,3306,-1279,2,-2,92,6181,-6766,4183,-4183,-34994878,-2334,2781,-263,264,-138765,92
1,90,0.00015053000000000001,4.6103000000000002e-05,3.2650803635338264,16782,7888,true,true,simd,5688,730,2,-1,95,5688,730,3116,-2,-9709360,-6311,-9241,-5508,-6607,-73990413,-3743,-1262,-1118,-450,-1452324,2153,-2537,595,-593,-705574,-1448,2179,-3,0,91,2897,-1946,671,-670,-899041,1323,5712,573,3009,-9382310,-2522,3678,-1290,1286,-3317796,91
2,90,0.00036720999999999998,0.00013984300000000001,2.6258733007730095,40855,23698,true,true,simd,8962,-9126,0,-3,91,8962,-9126,3805,-3804,-28948341,6955,-6899,1688,-1687,-5695213,-8964,876,-1058,0,-1119264,6233,7596,1567,1566,-4907745,-7125,-7011,-1799,-1800,-6476301,3914,6785,2,1,95,8099,8670,3037,3036,-18440565,-3561,7317,-155,155,-47950,95
3,90,0.000204735,0.00010296199999999999,1.9884520502709739,22349,15886,true,true,simd,7000,-2915,3,0,91,7000,-2915,1634,-1102,-3884260,-8456,-9839,-5715,-5716,-65333781,2658,-7677,683,-2473,-6582118,-8507,-3266,-3311,-1598,-13516225,-2971,4423,-170,171,-58041,-9650,-2136,-4454,-468,-20057040,6342,-1476,976,-1,-952477,5368,1675,2,-1,95,95
4,90,0.00037670999999999999,5.0921999999999998e-05,7.3977848474136918,41795,8849,true,true,simd,8934,9888,2,1,95,8934,9888,7434,7436,-110558352,-7495,4080,-4535,3115,-30269350,-8104,1471,-5144,506,-26716672,6238,-3604,3243,-2612,-17339493,8982,5906,5987,4949,-60336670,2950,3625,1311,1312,-3439965,-7876,7304,-5627,5628,-63337413,2998,-363,3,0,91,91
5,90,0.00013390599999999999,8.0747999999999993e-05,1.658319710704909,14391,14190,true,true,simd,-2704,-3661,-2,-1,95,-2704,-3661,-1,-2,95,7136,-2766,2417,-1188,-7253133,-2863,-9205,-1243,-4463,-21463318,-1748,9216,-141,4514,-20395977,-7479,-7610,-4363,-4364,-38080165,-3123,3418,-116,116,-26812,2421,5209,679,681,-924702,-8946,-647,-4175,2,-17430529,95
6,90,0.00012461500000000001,7.5718999999999998e-05,1.645756018964857,13415,13216,true,true,simd,816,4511,0,2,96,816,4511,2,1,95,-2544,-8330,-965,-4010,-17011225,5702,-7797,3920,-3923,-30756229,2900,4065,499,498,-496905,-8851,-1870,-4387,-435,-19434894,48,6349,2,1839,-3381825,-5357,-1073,-893,-5,-797374,9878,4162,5535,2537,-37072494,95
7,90,9.0247999999999994e-05,5.2528000000000003e-05,1.7180932074322264,8846,9091,true,true,simd,154,2973,2,1,95,154,2973,0,3,91,-4310,56,-1306,1,-1705537,3844,8290,2830,5320,-36311200,-3182,703,-178,1,-31585,-5195,9799,-4229,6829,-64519582,8000,9120,6567,6569,-86277150,-3097,-7236,-2116,-4143,-21641805,8284,-464,5247,0,-27530909,91
8,90,0.00015507100000000001,0.000100517,1.5427340648845469,16504,16437,true,true,simd,-2259,5094,-2,2,92,-2259,5094,0,3,91,-6547,9951,-4573,4575,-41842854,-7429,-277,-1972,-10,-3888784,-4396,-5689,-1419,-1420,-4029861,-5113,-7538,-2702,-2703,-14606913,-2525,7353,-669,1859,-3903342,8469,-6989,4107,-4107,-33734798,4515,9456,2737,3962,-23188513,91
9,90,0.00024294400000000001,8.1377000000000004e-05,2.985413568944542,26557,13859,true,true,simd,-5341,6545,-2,2,92,-5341,6545,-2864,2864,-16404892,3057,3126,2,1,95,5008,-7669,3241,-3241,-21008062,5859,4848,2264,2263,-10246765,-4985,-5694,-2289,-2287,-10469790,-3776,3480,-549,549,-602702,-5151,5994,-2494,2493,-12434985,-571,4975,-4,320,-102316,95
summary,trials,target_fitness,total_scalar_seconds,total_simd_seconds,average_speedup,scalar_wins,simd_wins,ties,scalar_successes,simd_successes
summary,10,90,0.0021703600000000001,0.00079945299999999999,2.7148062487725984,0,10,0,10,10
